variable,label
DR1TS100,SFA 10:0 (Decanoic) (gm)
DR1TS120,SFA 12:0 (Dodecanoic) (gm)
DR1TS140,SFA 14:0 (Tetradecanoic) (gm)
DR1TS160,SFA 16:0 (Hexadecanoic) (gm)
DR1TS180,SFA 18:0 (Octadecanoic) (gm)
DR1TM161,MFA 16:1 (Hexadecenoic) (gm)
DR1TM181,MFA 18:1 (Octadecenoic) (gm)
DR1TM201,MFA 20:1 (Eicosenoic) (gm)
DR1TM221,MFA 22:1 (Docosenoic) (gm)
DR1TP182,PFA 18:2 (Octadecadienoic) (gm)
DR1TP183,PFA 18:3 (Octadecatrienoic) (gm)
DR1TP184,PFA 18:4 (Octadecatetraenoic) (gm)
DR1TP204,PFA 20:4 (Eicosatetraenoic) (gm)
DR1TP205,PFA 20:5 (Eicosapentaenoic) (gm)
DR1TP225,PFA 22:5 (Docosapentaenoic) (gm)
DR1TP226,PFA 22:6 (Docosahexaenoic) (gm)
DR1_300,Compare food consumed yesterday to usual
DR1_320Z,Total plain water drank yesterday (gm)
DR1_330Z,Total tap water drank yesterday (gm)
DR1BWATZ,Total bottled water drank yesterday (gm)
DR1TWS,Tap water source
DRD340,Shellfish eaten during past 30 days
DRD350A,Clams eaten during past 30 days
DRD350AQ,# of times clams eaten in past 30 days
DRD350B,Crabs eaten during past 30 days
DRD350BQ,# of times crabs eaten in past 30 days
DRD350C,Crayfish eaten during past 30 days
DRD350CQ,# of times crayfish eaten past 30 days
DRD350D,Lobsters eaten during past 30 days
DRD350DQ,# of times lobsters eaten past 30 days
DRD350E,Mussels eaten during past 30 days
DRD350EQ,# of times mussels eaten in past 30 days
DRD350F,Oysters eaten during past 30 days
DRD350FQ,# of times oysters eaten in past 30 days
DRD350G,Scallops eaten during past 30 days
DRD350GQ,# of times scallops eaten past 30 days
DRD350H,Shrimp eaten during past 30 days
DRD350HQ,# of times shrimp eaten in past 30 days
DRD350I,Other shellfish eaten past 30 days
DRD350IQ,# of times other shellfish eaten
DRD350J,Other unknown shellfish eaten past 30 d
DRD350JQ,# of times other unknown shellfish eaten
DRD350K,Refused on shellfish eaten past 30 days
DRD360,Fish eaten during past 30 days
DRD370A,Breaded fish products eaten past 30 days
DRD370AQ,# of times breaded fish products eaten
DRD370B,Tuna eaten during past 30 days
DRD370BQ,# of times tuna eaten in past 30 days
DRD370C,Bass eaten during past 30 days
DRD370CQ,# of times bass eaten in past 30 days
DRD370D,Catfish eaten during past 30 days
DRD370DQ,# of times catfish eaten in past 30 days
DRD370E,Cod eaten during past 30 days
DRD370EQ,# of times cod eaten in past 30 days
DRD370F,Flatfish eaten during past 30 days
DRD370FQ,# of times flatfish eaten past 30 days
DRD370G,Haddock eaten during past 30 days
DRD370GQ,# of times haddock eaten in past 30 days
DRD370H,Mackerel eaten during past 30 days
DRD370HQ,# of times mackerel eaten past 30 days
DRD370I,Perch eaten during past 30 days
DRD370IQ,# of times perch eaten in past 30 days
DRD370J,Pike eaten during past 30 days
DRD370JQ,# of times pike eaten in past 30 days
DRD370K,Pollock eaten during past 30 days
DRD370KQ,# of times pollock eaten in past 30 days
DRD370L,Porgy eaten during past 30 days
DRD370LQ,# of times porgy eaten in past 30 days
DRD370M,Salmon eaten during past 30 days
DRD370MQ,# of times salmon eaten in past 30 days
DRD370N,Sardines eaten during past 30 days
DRD370NQ,# of times sardines eaten past 30 days
DRD370O,Sea bass eaten during past 30 days
DRD370OQ,# of times sea bass eaten past 30 days
DRD370P,Shark eaten during past 30 days
DRD370PQ,# of times shark eaten in past 30 days
DRD370Q,Swordfish eaten during past 30 days
DRD370QQ,# of times swordfish eaten past 30 days
DRD370R,Trout eaten during past 30 days
DRD370RQ,# of times trout eaten in past 30 days
DRD370S,Walleye eaten during past 30 days
DRD370SQ,# of times walleye eaten in past 30 days
DRD370T,Other fish eaten during past 30 days
DRD370TQ,# of times other fish eaten past 30 days
DRD370U,Other unknown fish eaten in past 30 days
DRD370UQ,# of times other unknown fish eaten
DRD370V,Refused on fish eaten past 30 days
DR2MNRSP,Main respondent for this interview
DR2HELPD,Helped in responding for this interview
DR2TNUMF,Number of foods/beverages reported
DR2STY,Salt used at table yesterday?
DR2SKY,Type of salt used yesterday
DR2TKCAL,Energy (kcal)
DR2TPROT,Protein (gm)
DR2TCARB,Carbohydrate (gm)
DR2TSUGR,Total sugars (gm)
DR2TFIBE,Dietary fiber (gm)
DR2TTFAT,Total fat (gm)
DR2TSFAT,Total saturated fatty acids (gm)
DR2TMFAT,Total monounsaturated fatty acids (gm)
DR2TPFAT,Total polyunsaturated fatty acids (gm)
DR2TCHOL,Cholesterol (mg)
DR2TATOC,Vitamin E as alpha-tocopherol (mg)
DR2TATOA,Added alpha-tocopherol (Vitamin E) (mg)
DR2TRET,Retinol (mcg)
DR2TVARA,"Vitamin A, RAE (mcg)"
DR2TACAR,Alpha-carotene (mcg)
DR2TBCAR,Beta-carotene (mcg)
DR2TCRYP,Beta-cryptoxanthin (mcg)
DR2TLYCO,Lycopene (mcg)
DR2TLZ,Lutein + zeaxanthin (mcg)
DR2TVB1,Thiamin (Vitamin B1) (mg)
DR2TVB2,Riboflavin (Vitamin B2) (mg)
DR2TNIAC,Niacin (mg)
DR2TVB6,Vitamin B6 (mg)
DR2TFOLA,Total folate (mcg)
DR2TFA,Folic acid (mcg)
DR2TFF,Food folate (mcg)
DR2TFDFE,"Folate, DFE (mcg)"
DR2TCHL,Total choline (mg)
DR2TVB12,Vitamin B12 (mcg)
DR2TB12A,Added vitamin B12 (mcg)
DR2TVC,Vitamin C (mg)
DR2TVD,Vitamin D (D2 + D3) (mcg)
DR2TVK,Vitamin K (mcg)
DR2TCALC,Calcium (mg)
DR2TPHOS,Phosphorus (mg)
DR2TMAGN,Magnesium (mg)
DR2TIRON,Iron (mg)
DR2TZINC,Zinc (mg)
DR2TCOPP,Copper (mg)
DR2TSODI,Sodium (mg)
DR2TPOTA,Potassium (mg)
DR2TSELE,Selenium (mcg)
DR2TCAFF,Caffeine (mg)
DR2TTHEO,Theobromine (mg)
DR2TALCO,Alcohol (gm)
DR2TMOIS,Moisture (gm)
DR2TS040,SFA 4:0 (Butanoic) (gm)
DR2TS060,SFA 6:0 (Hexanoic) (gm)
DR2TS080,SFA 8:0 (Octanoic) (gm)
DR2TS100,SFA 10:0 (Decanoic) (gm)
DR2TS120,SFA 12:0 (Dodecanoic) (gm)
DR2TS140,SFA 14:0 (Tetradecanoic) (gm)
DR2TS160,SFA 16:0 (Hexadecanoic) (gm)
DR2TS180,SFA 18:0 (Octadecanoic) (gm)
DR2TM161,MFA 16:1 (Hexadecenoic) (gm)
DR2TM181,MFA 18:1 (Octadecenoic) (gm)
DR2TM201,MFA 20:1 (Eicosenoic) (gm)
DR2TM221,MFA 22:1 (Docosenoic) (gm)
DR2TP182,PFA 18:2 (Octadecadienoic) (gm)
DR2TP183,PFA 18:3 (Octadecatrienoic) (gm)
DR2TP184,PFA 18:4 (Octadecatetraenoic) (gm)
DR2TP204,PFA 20:4 (Eicosatetraenoic) (gm)
DR2TP205,PFA 20:5 (Eicosapentaenoic) (gm)
DR2TP225,PFA 22:5 (Docosapentaenoic) (gm)
DR2TP226,PFA 22:6 (Docosahexaenoic) (gm)
DR2_300,Compare food consumed yesterday to usual
DR2_320Z,Total plain water drank yesterday (gm)
DR2_330Z,Total tap water drank yesterday (gm)
DR2BWATZ,Total bottled water drank yesterday (gm)
DR2TWS,Tap water source
DRXFDCD,Food Code
DRXFCSD,Short Food Code Description
DRXFCLD,Long Food Code Description
DSDIID,INGREDIENT ID NUMBER
DSDINGR,INGREDIENT NAME
DSDBID,BLEND COMPONENT ID
DSDBCNAM,BLEND COMPONENT NAME
DSDBCCAT,BLEND COMPONENT CATEGORY
DSDBCID,BLEND COMPONENT ID - OLD VERSION
DSDPID,SUPPLEMENT ID NUMBER
DSDSUPP,SUPPLEMENT NAME
DSDOPER,INGREDIENT OPERATOR
DSDQTY,INGREDIENT QUANTITY
DSDUNIT,INGREDIENT UNIT
DSDCAT,INGREDIENT CATEGORY
DSDBLFLG,BLEND FLAG
DSDINGID,INGREDIENT ID NUMBER - OLD VERSION
DSDPRDT,PRODUCT TYPE
DSDSRCE,SUPPLEMENT INFORMATION SOURCE
DSDTYPE,SUPPLEMENT TYPE
DSDSERVQ,SERVING SIZE QUANTITY
DSDSERVU,SERVING SIZE UNIT
DSDPREID,PREVIOUS PRODUCT ID
DSDORGID,ORIGINAL PRODUCT ID
DSDSGPF,SEQUENTIAL GROUP FORMULATION
DSDSEQF,SEQUENTIAL FORMULATION
DSDLINRF,LINEAR FORMULATION
DSDCNTV,COUNT OF VITAMINS IN THE SUPPLEMENT
DSDCNTM,COUNT OF MINERALS IN THE SUPPLEMENT
DSDCNTA,COUNT OF AMINO ACIDS IN THE SUPPLEMENT
DSDCNTB,COUNT OF BOTANICALS IN THE SUPPLEMENT
DSDCNTO,COUNT OF OTHER INGREDIENTS IN SUPPLEMENT
DSDSUPID,SUPPLEMENT ID NUMBER - OLD VERSION
DS1LOC,Location supplement originally recorded
DS1MTCH,Matching code
DS1ANTA,Antacid containing calcium/magnesium
DS1ACTSS,Reported serving size/label serving size
DS1IKCAL,Energy (kcal)
DS1IPROT,Protein (gm)
DS1ICARB,Carbohydrate (gm)
DS1ISUGR,Total sugars (gm)
DS1IFIBE,Dietary fiber (gm)
DS1ITFAT,Total fat (gm)
DS1ISFAT,Total saturated fatty acids (gm)
DS1IMFAT,Total monounsaturated fatty acids (gm)
DS1IPFAT,Total polyunsaturated fatty acids (gm)
DS1ICHOL,Cholesterol (mg)
DS1ILYCO,Lycopene (mcg)
DS1ILZ,Lutein + zeaxanthin (mcg)
DS1IVB1,Thiamin (Vitamin B1) (mg)
DS1IVB2,Riboflavin (Vitamin B2) (mg)
DS1INIAC,Niacin (mg)
DS1IVB6,Vitamin B6 (mg)
DS1IFA,Folic acid (mcg)
DS1IFDFE,"Folate, DFE (mcg)"
DS1ICHL,Total choline (mg)
DS1IVB12,Vitamin B12 (mcg)
DS1IVC,Vitamin C (mg)
DS1IVK,Vitamin K (mcg)
DS1IVD,Vitamin D (D2 + D3) (mcg)
DS1ICALC,Calcium (mg)
DS1IPHOS,Phosphorus (mg)
DS1IMAGN,Magnesium (mg)
DS1IIRON,Iron (mg)
DS1IZINC,Zinc (mg)
DS1ICOPP,Copper (mg)
DS1ISODI,Sodium (mg)
DS1IPOTA,Potassium (mg)
DS1ISELE,Selenium (mcg)
DS1ICAFF,Caffeine (mg)
DS1IIODI,Iodine (mcg)
DS2LOC,Location supplement originally recorded
DS2MTCH,Matching code
DS2ANTA,Antacid containing calcium/magnesium
DS2ACTSS,Reported serving size/label serving size
DS2IKCAL,Energy (kcal)
DS2IPROT,Protein (gm)
DS2ICARB,Carbohydrate (gm)
DS2ISUGR,Total sugars (gm)
DS2IFIBE,Dietary fiber (gm)
DS2ITFAT,Total fat (gm)
DS2ISFAT,Total saturated fatty acids (gm)
DS2IMFAT,Total monounsaturated fatty acids (gm)
DS2IPFAT,Total polyunsaturated fatty acids (gm)
DS2ICHOL,Cholesterol (mg)
DS2ILYCO,Lycopene (mcg)
DS2ILZ,Lutein + zeaxanthin (mcg)
DS2IVB1,Thiamin (Vitamin B1) (mg)
DS2IVB2,Riboflavin (Vitamin B2) (mg)
DS2INIAC,Niacin (mg)
DS2IVB6,Vitamin B6 (mg)
DS2IFA,Folic acid (mcg)
DS2IFDFE,"Folate, DFE (mcg)"
DS2ICHL,Total choline (mg)
DS2IVB12,Vitamin B12 (mcg)
DS2IVC,Vitamin C (mg)
DS2IVK,Vitamin K (mcg)
DS2IVD,Vitamin D (D2 + D3) (mcg)
DS2ICALC,Calcium (mg)
DS2IPHOS,Phosphorus (mg)
DS2IMAGN,Magnesium (mg)
DS2IIRON,Iron (mg)
DS2IZINC,Zinc (mg)
DS2ICOPP,Copper (mg)
DS2ISODI,Sodium (mg)
DS2IPOTA,Potassium (mg)
DS2ISELE,Selenium (mcg)
DS2ICAFF,Caffeine (mg)
DS2IIODI,Iodine (mcg)
DS1DSCNT,Total # of Dietary Supplements Taken
DS1DS,Any Dietary Supplements Taken?
DS1ANCNT,Total # of Antacids Taken
DS1AN,Any Antacids Taken?
DS1TKCAL,Energy (kcal)
DS1TPROT,Protein (gm)
DS1TCARB,Carbohydrate (gm)
DS1TSUGR,Total sugars (gm)
DS1TFIBE,Dietary fiber (gm)
DS1TTFAT,Total fat (gm)
DS1TSFAT,Total saturated fatty acids (gm)
DS1TMFAT,Total monounsaturated fatty acids (gm)
DS1TPFAT,Total polyunsaturated fatty acids (gm)
DS1TCHOL,Cholesterol (mg)
DS1TLYCO,Lycopene (mcg)
DS1TLZ,Lutein + zeaxanthin (mcg)
DS1TVB1,Thiamin (Vitamin B1) (mg)
DS1TVB2,Riboflavin (Vitamin B2) (mg)
DS1TNIAC,Niacin (mg)
DS1TVB6,Vitamin B6 (mg)
DS1TVB12,Vitamin B12 (mcg)
DS1TFA,Folic acid (mcg)
DS1TFDFE,"Folate, DFE (mcg)"
DS1TCHL,Total choline (mg)
DS1TVC,Vitamin C (mg)
DS1TVK,Vitamin K (mcg)
DS1TVD,Vitamin D (D2 + D3) (mcg)
DS1TCALC,Calcium (mg)
DS1TPHOS,Phosphorus (mg)
DS1TMAGN,Magnesium (mg)
DS1TIRON,Iron (mg)
DS1TZINC,Zinc (mg)
DS1TCOPP,Copper (mg)
DS1TSODI,Sodium (mg)
DS1TPOTA,Potassium (mg)
DS1TSELE,Selenium (mcg)
DS1TCAFF,Caffeine (mg)
DS1TIODI,Iodine (mcg)
DS2DSCNT,Total # of Dietary Supplements Taken
DS2DS,Any Dietary Supplements Taken?
DS2ANCNT,Total # of Antacids Taken
DS2AN,Any Antacids Taken?
DS2TKCAL,Energy (kcal)
DS2TPROT,Protein (gm)
DS2TCARB,Carbohydrate (gm)
DS2TSUGR,Total sugars (gm)
DS2TFIBE,Dietary fiber (gm)
DS2TTFAT,Total fat (gm)
DS2TSFAT,Total saturated fatty acids (gm)
DS2TMFAT,Total monounsaturated fatty acids (gm)
DS2TPFAT,Total polyunsaturated fatty acids (gm)
DS2TCHOL,Cholesterol (mg)
DS2TLYCO,Lycopene (mcg)
DS2TLZ,Lutein + zeaxanthin (mcg)
DS2TVB1,Thiamin (Vitamin B1) (mg)
DS2TVB2,Riboflavin (Vitamin B2) (mg)
DS2TNIAC,Niacin (mg)
DS2TVB6,Vitamin B6 (mg)
DS2TVB12,Vitamin B12 (mcg)
DS2TFA,Folic acid (mcg)
DS2TFDFE,"Folate, DFE (mcg)"
DS2TCHL,Total choline (mg)
DS2TVC,Vitamin C (mg)
DS2TVK,Vitamin K (mcg)
DS2TVD,Vitamin D (D2 + D3) (mcg)
DS2TCALC,Calcium (mg)
DS2TPHOS,Phosphorus (mg)
DS2TMAGN,Magnesium (mg)
DS2TIRON,Iron (mg)
DS2TZINC,Zinc (mg)
DS2TCOPP,Copper (mg)
DS2TSODI,Sodium (mg)
DS2TPOTA,Potassium (mg)
DS2TSELE,Selenium (mcg)
DS2TCAFF,Caffeine (mg)
DS2TIODI,Iodine (mcg)
DSDANTA,Antacid reported as a dietary supplement
DSD070,Was container seen?
DSDMTCH,Matching code
DSD090,How long supplement taken (days)?
DSD103,"Days supplement taken, past 30 days"
DSD122Q,Quantity of supplement taken daily
DSD122U,Dosage form
DSDACTSS,Reported serving size/label serving size
DSDDAY1,Reported Product during Day 1
DSDDAY2,Reported Product during Day 2
DSQ124,Took product on own or doctor advised
DSQ128A,For good bowel/colon health
DSQ128B,For prostate health
DSQ128C,For mental health
DSQ128D,To prevent health problems
DSQ128E,To improve my overall health
DSQ128F,"For teeth, prevent cavities"
DSQ128G,"To supplement my diet, food not enough"
DSQ128H,To maintain health (to stay healthy)
DSQ128I,"To prevent colds, boost immune system"
DSQ128J,"For heart health, cholesterol"
DSQ128K,For eye health
DSQ128L,"For healthy joints, arthritis"
